data_index,hex,cluster
0,#222831,708
1,#393E46,1260
2,#00ADB5,1167
3,#EEEEEE,539
4,#E3FDFD,881
5,#CBF1F5,145
6,#A6E3E9,273
7,#71C9CE,1068
8,#F9ED69,538
9,#F08A5D,955
10,#B83B5E,2104
11,#6A2C70,3092
12,#F38181,3685
13,#FCE38A,446
14,#EAFFD0,1909
15,#95E1D3,82
16,#08D9D6,1997
17,#252A34,2660
18,#FF2E63,1645
19,#EAEAEA,539
20,#FFC7C7,775
21,#FFE2E2,70
22,#F6F6F6,152
23,#8785A2,2278
24,#F9F7F7,152
25,#DBE2EF,1564
26,#3F72AF,1156
27,#112D4E,2525
28,#A8D8EA,1728
29,#AA96DA,2488
30,#FCBAD3,1031
31,#FFFFD2,396
32,#FFB6B9,184
33,#FAE3D9,329
34,#BBDED6,1144
35,#61C0BF,1002
36,#364F6B,798
37,#3FC1C9,3694
38,#F5F5F5,3659
39,#FC5185,1403
40,#F4EEFF,1475
41,#DCD6F7,928
42,#A6B1E1,1558
43,#424874,74
44,#DEFCF9,3692
45,#CADEFC,1603
46,#C3BEF0,1049
47,#CCA8E9,3244
48,#1B262C,202
49,#0F4C75,2373
50,#3282B8,1516
51,#BBE1FA,311
52,#E4F9F5,559
53,#30E3CA,1303
54,#11999E,2606
55,#40514E,1433
56,#F67280,1282
57,#C06C84,3375
58,#6C5B7B,525
59,#355C7D,1719
60,#FCD1D1,357
61,#ECE2E1,539
62,#D3E0DC,2771
63,#AEE1E1,1534
64,#2B2E4A,1636
65,#E84545,1268
66,#903749,593
67,#53354A,1337
68,#7D5A50,94
69,#B4846C,459
70,#E5B299,1208
71,#FCDEC0,650
72,#BAD7DF,1182
73,#99DDCC,82
74,#F8EDE3,1217
75,#BDD2B6,1126
76,#A2B29F,1398
77,#798777,2716
78,#212121,1274
79,#323232,922
80,#0D7377,984
81,#14FFEC,2797
82,#FFCFDF,990
83,#FEFDCA,117
84,#E0F9B5,692
85,#A5DEE5,1100
86,#E23E57,1680
87,#88304E,300
88,#522546,1864
89,#311D3F,3643
90,#FFD5CD,357
91,#EFBBCF,296
92,#C3AED6,3462
93,#8675A9,316
94,#F7FBFC,441
95,#D6E6F2,1064
96,#B9D7EA,1887
97,#769FCD,1608
98,#A8E6CF,1416
99,#DCEDC1,977
100,#FFD3B6,1
101,#FFAAA5,484
102,#00B8A9,1701
103,#F8F3D4,14
104,#F6416C,112
105,#FFDE7D,3654
106,#FCD8D4,357
107,#FDF6F0,1217
108,#F8E2CF,1028
109,#F5C6AA,403
110,#AAAAAA,2118
111,#FDEFEF,371
112,#F4DFD0,329
113,#DAD0C2,917
114,#CDBBA7,2211
115,#FF9292,66
116,#FFB4B4,613
117,#FFDCDC,70
118,#FFE8E8,371
119,#F0F5F9,341
120,#C9D6DF,3594
121,#52616B,3313
122,#1E2022,628
123,#FFC8C8,775
124,#FF9999,66
125,#444F5A,2227
126,#3E4149,1260
127,#AD8B73,1176
128,#CEAB93,248
129,#E3CAA5,2473
130,#FFFBE9,571
131,#2D4059,1309
132,#EA5455,1262
133,#F07B3F,1580
134,#FFD460,374
135,#BE9FE1,3099
136,#C9B6E4,595
137,#E1CCEC,90
138,#F1F1F6,2127
139,#48466D,1907
140,#3D84A8,745
141,#46CDCF,858
142,#ABEDD8,1416
143,#FCF8E8,571
144,#D4E2D4,1022
145,#ECB390,1382
146,#DF7861,23
147,#7D5A5A,3557
148,#F1D1D1,1271
149,#F3E1E1,371
150,#FAF2F2,3659
151,#FEFFDE,263
152,#DDFFBC,1988
153,#91C788,665
154,#52734D,407
155,#B5EAEA,510
156,#EDF6E5,792
157,#FFBCBC,613
158,#F38BA0,1770
159,#93B5C6,2510
160,#C9CCD5,1237
161,#E4D8DC,1449
162,#FFE3E3,70
163,#FEF5ED,1217
164,#D3E4CD,1515
165,#ADC2A9,838
166,#99A799,3183
167,#A1EAFB,1073
168,#FDFDFD,152
169,#FFCEF3,1460
170,#CABBE9,1600
171,#A0937D,2629
172,#E7D4B5,596
173,#F6E6CB,383
174,#E3CDC1,1504
175,#98DDCA,254
176,#D5ECC2,2426
177,#FFD3B4,1
178,#FFAAA7,348
179,#968C83,2086
180,#D6D2C4,171
181,#FFF5EA,110
182,#F7DAD9,3699
183,#FAF3E0,478
184,#EABF9F,3310
185,#B68973,3019
186,#1E212D,2323
187,#3EC1D3,2083
188,#F6F7D7,263
189,#FF9A00,44
190,#FF165D,2548
191,#FFEDDB,3665
192,#EDCDBB,1238
193,#E3B7A0,1602
194,#BF9270,459
195,#FFF5E4,478
196,#FFE3E1,70
197,#FFD1D1,357
198,#FF9494,66
199,#142850,2525
200,#27496D,3073
201,#0C7B93,3165
202,#00A8CC,400
203,#999B84,2372
204,#D8AC9C,248
205,#EFD9D1,214
206,#F4EEED,3659
207,#FFE8DF,329
208,#FFFFFF,152
209,#F0F0F0,539
210,#888888,1653
211,#D4A5A5,3098
212,#FFECDA,329
213,#F9FFEA,1151
214,#A6D0E4,100
215,#B7C4CF,2535
216,#EEE3CB,602
217,#D7C0AE,719
218,#967E76,2344
219,#8AC6D1,199
220,#1FAB89,240
221,#62D2A2,1355
222,#9DF3C4,428
223,#D7FBE8,1317
224,#CDF0EA,1492
225,#F9F9F9,152
226,#F7DBF0,376
227,#BEAEE2,595
228,#F9ECEC,371
229,#F0D9DA,390
230,#C8D9EB,286
231,#ECF2F9,2396
232,#F5EEE6,110
233,#F3D7CA,1028
234,#E6A4B4,3157
235,#C86B85,2699
